rowID,stamp,datetime,hum
190999,1497825392, 2017/6/18 22:36:32,63.3
191999,1497825393, 2017/6/18 22:36:33,63.3
192999,1497825394, 2017/6/18 22:36:34,63.4
193999,1497825395, 2017/6/18 22:36:35,63.4
194999,1497825396, 2017/6/18 22:36:36,63.4
195999,1497825397, 2017/6/18 22:36:37,63.4
196999,1497825398, 2017/6/18 22:36:38,63.4
197999,1497825399, 2017/6/18 22:36:39,63.3
198999,1497825400, 2017/6/18 22:36:40,63.3
199999,1497825401, 2017/6/18 22:36:41,63.3
200999,1497825402, 2017/6/18 22:36:42,63.4
201999,1497825403, 2017/6/18 22:36:43,63.4
202999,1497825404, 2017/6/18 22:36:44,63.4
203999,1497825405, 2017/6/18 22:36:45,63.5
204999,1497825406, 2017/6/18 22:36:46,63.5
205999,1497825407, 2017/6/18 22:36:47,63.4
206999,1497825408, 2017/6/18 22:36:48,63.4
207999,1497825409, 2017/6/18 22:36:49,63.4
208999,1497825410, 2017/6/18 22:36:50,63.4
209999,1497825411, 2017/6/18 22:36:51,63.5
210999,1497825412, 2017/6/18 22:36:52,63.5
211999,1497825413, 2017/6/18 22:36:53,63.5
212999,1497825414, 2017/6/18 22:36:54,63.5
213999,1497825415, 2017/6/18 22:36:55,63.5
214999,1497825416, 2017/6/18 22:36:56,63.7
215999,1497825417, 2017/6/18 22:36:57,63.7
216999,1497825418, 2017/6/18 22:36:58,63.8
217999,1497825419, 2017/6/18 22:36:59,63.8
218999,1497825420, 2017/6/18 22:37:0,63.7
219999,1497825421, 2017/6/18 22:37:1,63.7
220999,1497825422, 2017/6/18 22:37:2,63.8
221999,1497825423, 2017/6/18 22:37:3,63.8
222999,1497825424, 2017/6/18 22:37:4,63.8
223999,1497825425, 2017/6/18 22:37:5,63.8
224999,1497825426, 2017/6/18 22:37:6,63.8
225999,1497825427, 2017/6/18 22:37:7,63.8
226999,1497825428, 2017/6/18 22:37:8,63.8
227999,1497825429, 2017/6/18 22:37:9,63.8
228999,1497825430, 2017/6/18 22:37:10,63.8
229999,1497825431, 2017/6/18 22:37:11,63.8
230999,1497825432, 2017/6/18 22:37:12,63.8
231999,1497825433, 2017/6/18 22:37:13,63.8
232999,1497825434, 2017/6/18 22:37:14,63.8
233999,1497825435, 2017/6/18 22:37:15,63.8
234999,1497825436, 2017/6/18 22:37:16,63.7
235999,1497825437, 2017/6/18 22:37:17,63.7
236999,1497825438, 2017/6/18 22:37:18,63.7
237999,1497825439, 2017/6/18 22:37:19,63.7
238999,1497825440, 2017/6/18 22:37:20,63.7
239999,1497825441, 2017/6/18 22:37:21,63.7
240999,1497825442, 2017/6/18 22:37:22,63.8
241999,1497825443, 2017/6/18 22:37:23,63.8
242999,1497825444, 2017/6/18 22:37:24,63.8
243999,1497825445, 2017/6/18 22:37:25,63.8
244999,1497825446, 2017/6/18 22:37:26,63.8
245999,1497825447, 2017/6/18 22:37:27,63.8
246999,1497825448, 2017/6/18 22:37:28,63.8
247999,1497825449, 2017/6/18 22:37:29,63.8
248999,1497825450, 2017/6/18 22:37:30,63.8
249999,1497825451, 2017/6/18 22:37:31,63.8
250999,1497825452, 2017/6/18 22:37:32,63.8
251999,1497825453, 2017/6/18 22:37:33,63.8
252999,1497825454, 2017/6/18 22:37:34,63.9
253999,1497825455, 2017/6/18 22:37:35,63.9
254999,1497825456, 2017/6/18 22:37:36,64.0
255999,1497825457, 2017/6/18 22:37:37,64.0
256999,1497825458, 2017/6/18 22:37:38,64.1
257999,1497825459, 2017/6/18 22:37:39,64.1
258999,1497825460, 2017/6/18 22:37:40,64.1
259999,1497825461, 2017/6/18 22:37:41,64.1
260999,1497825462, 2017/6/18 22:37:42,64.1
261999,1497825463, 2017/6/18 22:37:43,64.2
262999,1497825464, 2017/6/18 22:37:44,64.2
263999,1497825465, 2017/6/18 22:37:45,64.2
264999,1497825466, 2017/6/18 22:37:46,64.2
265999,1497825467, 2017/6/18 22:37:47,64.2
266999,1497825468, 2017/6/18 22:37:48,64.2
267999,1497825469, 2017/6/18 22:37:49,64.2
268999,1497825470, 2017/6/18 22:37:50,64.2
269999,1497825471, 2017/6/18 22:37:51,64.2
270999,1497825472, 2017/6/18 22:37:52,64.2
271999,1497825473, 2017/6/18 22:37:53,64.2
272999,1497825474, 2017/6/18 22:37:54,64.2
273999,1497825475, 2017/6/18 22:37:55,64.2
274999,1497825476, 2017/6/18 22:37:56,64.2
275999,1497825477, 2017/6/18 22:37:57,64.2
276999,1497825478, 2017/6/18 22:37:58,64.2
277999,1497825479, 2017/6/18 22:37:59,64.2
278999,1497825480, 2017/6/18 22:38:0,64.2
279999,1497825481, 2017/6/18 22:38:1,64.2
280999,1497825482, 2017/6/18 22:38:2,64.2
281999,1497825483, 2017/6/18 22:38:3,64.2
282999,1497825484, 2017/6/18 22:38:4,64.2
283999,1497825485, 2017/6/18 22:38:5,64.2
